name,type,parent_module,full_path,links_out,links_in,lines
effective_dqc_worker_count,function,auditor.py,services\data_maintenance\auditor.py,0,3,3
change_requests.py,module,,services\data_quality_control\change_requests.py,2,1,111
ChangeRequestStore,class,change_requests.py,services\data_quality_control\change_requests.py,2,1,109
_,function,change_requests.py,services\data_quality_control\change_requests.py,0,0,0
utc_now_iso,function,change_requests.py,services\data_quality_control\change_requests.py,0,0,2
field_mapping.py,module,,services\data_quality_control\field_mapping.py,0,3,0
history.py,module,,services\data_quality_control\history.py,2,2,95
AuditHistoryStore,class,history.py,services\data_quality_control\history.py,2,2,93
_,function,history.py,services\data_quality_control\history.py,0,0,0
utc_now_iso,function,history.py,services\data_quality_control\history.py,0,0,2
AuditOptions,class,models.py,services\data_maintenance\models.py,1,0,5
RuleProfilePayload,class,models.py,services\data_maintenance\models.py,1,0,3
report_reader.py,module,,services\data_quality_control\report_reader.py,0,1,30
read_report_workbook,function,report_reader.py,services\data_quality_control\report_reader.py,1,1,26
normalize_cell,function,report_reader.py,services\data_quality_control\report_reader.py,0,1,4
is_visible_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,1,1,2
apply_sample_column_widths,function,report_writer.py,services\data_maintenance\report_writer.py,1,1,31
write_missing_overview_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,3,1,15
write_summary_tracker_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,1,1,5
write_action_tracker_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,1,1,7
write_generic_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,1,3,2
write_update_summary_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,1,1,14
non_empty_dataframe,function,report_writer.py,services\data_maintenance\report_writer.py,0,4,4
run_summary_value,function,report_writer.py,services\data_maintenance\report_writer.py,0,9,7
is_update_summary_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,0,3,2
write_run_summary_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,0,1,3
header_row_for_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,0,1,6
freeze_pane_for_sheet,function,report_writer.py,services\data_maintenance\report_writer.py,0,1,6
active_rule_profile_path,function,rules.py,services\data_maintenance\rules.py,1,2,3
save_rule_profile,function,rules.py,services\data_maintenance\rules.py,2,1,15
parse_rule_profile,function,rules.py,services\data_maintenance\rules.py,1,1,14
_,function,rules.py,services\data_maintenance\rules.py,0,0,0
run_data_quality_control,function,service.py,services\data_maintenance\service.py,12,1,41
snapshots.py,module,,services\data_quality_control\snapshots.py,5,1,179
DQCSnapshotStore,class,snapshots.py,services\data_quality_control\snapshots.py,2,1,64
_,function,snapshots.py,services\data_quality_control\snapshots.py,5,0,0
next_snapshot_version,function,snapshots.py,services\data_quality_control\snapshots.py,1,1,3
update_summary_sheet_name,function,snapshots.py,services\data_quality_control\snapshots.py,1,1,5
build_update_summary_dataframe,function,snapshots.py,services\data_quality_control\snapshots.py,4,1,30
metric_rows,function,snapshots.py,services\data_quality_control\snapshots.py,1,1,15
compare_mapping,function,snapshots.py,services\data_quality_control\snapshots.py,1,2,12
utc_now_iso,function,snapshots.py,services\data_quality_control\snapshots.py,0,0,2
build_snapshot,function,snapshots.py,services\data_quality_control\snapshots.py,0,1,6
snapshot_version,function,snapshots.py,services\data_quality_control\snapshots.py,0,4,12
collect_field_missing_totals,function,snapshots.py,services\data_quality_control\snapshots.py,0,2,16
numeric_delta,function,snapshots.py,services\data_quality_control\snapshots.py,0,2,7
run_summary_value,function,snapshots.py,services\data_quality_control\snapshots.py,0,0,7
preview_batch_rename,function,api.py,services\data_maintenance\api.py,1,0,2
apply_batch_rename,function,api.py,services\data_maintenance\api.py,1,0,2
preview_rename,function,api.py,services\data_maintenance\api.py,1,0,2
thumbnail,function,api.py,services\data_maintenance\api.py,2,1,3
original,function,api.py,services\data_maintenance\api.py,1,0,3
apply_rename_plan,function,api.py,services\data_maintenance\api.py,1,0,2
undo_last_rename,function,api.py,services\data_maintenance\api.py,1,0,2
open_folder,function,api.py,services\data_maintenance\api.py,0,0,2
pick_folder,function,api.py,services\data_maintenance\api.py,0,0,16
pick_output_folder,function,api.py,services\data_maintenance\api.py,0,0,24
OpenFolderRequest,class,models.py,services\data_maintenance\models.py,1,0,2
ImageItem,class,models.py,services\data_maintenance\models.py,1,0,10
FolderResponse,class,models.py,services\data_maintenance\models.py,1,0,4
RenameColumns,class,models.py,services\data_maintenance\models.py,1,0,4
RenameRequest,class,models.py,services\data_maintenance\models.py,1,0,4
RenamePlanItem,class,models.py,services\data_maintenance\models.py,1,0,8
RenamePlanResponse,class,models.py,services\data_maintenance\models.py,1,0,5
ApplyRenameResponse,class,models.py,services\data_maintenance\models.py,1,0,6
PickFolderResponse,class,models.py,services\data_maintenance\models.py,1,0,2
PickOutputFolderRequest,class,models.py,services\data_maintenance\models.py,1,0,3
UndoRequest,class,models.py,services\data_maintenance\models.py,1,0,3
UndoResponse,class,models.py,services\data_maintenance\models.py,1,0,3
BatchAssignment,class,models.py,services\data_maintenance\models.py,1,0,4
BatchRenameRequest,class,models.py,services\data_maintenance\models.py,1,0,9
BatchRenamePlanResponse,class,models.py,services\data_maintenance\models.py,1,0,4
BatchApplyRenameResponse,class,models.py,services\data_maintenance\models.py,1,0,5
batch_renamer.py,module,,services\ean_renamer\services\batch_renamer.py,4,1,364
build_batch_plan,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,13,3,113
apply_batch_copy,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,8,1,60
apply_batch_rename_in_place,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,5,1,36
output_roots_for_request,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,2,2,17
categories_for_assignments,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,1,2,6
category_prefix,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,1,1,8
category_output_parts,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,1,1,4
validate_category,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,1,2,4
safe_custom_category_name,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,1,3,7
add_plan_item,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,1,2,37
_,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,0,0
first_output_folder_path,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,1,5
report_output_root,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,1,2
normalize_custom_ean,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,1,11
normalize_naming_mode,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,1,5
normalize_output_mode,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,2,5
category_display_name,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,1,2
category_order_for_request,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,1,13
find_in_place_conflicts,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,2,24
in_place_target,function,batch_renamer.py,services\ean_renamer\services\batch_renamer.py,0,2,5
excel_report.py,module,,services\ean_renamer\services\excel_report.py,1,1,50
write_excel_report,function,excel_report.py,services\ean_renamer\services\excel_report.py,2,2,32
_,function,excel_report.py,services\ean_renamer\services\excel_report.py,0,0,0
unique_report_path,function,excel_report.py,services\ean_renamer\services\excel_report.py,0,1,9
folder_name_for_item,function,excel_report.py,services\ean_renamer\services\excel_report.py,0,1,9
folder_scanner.py,module,,services\ean_renamer\services\folder_scanner.py,1,6,17
_,function,folder_scanner.py,services\ean_renamer\services\folder_scanner.py,4,0,0
normalize_folder,function,folder_scanner.py,services\ean_renamer\services\folder_scanner.py,0,10,5
image_id_for_name,function,folder_scanner.py,services\ean_renamer\services\folder_scanner.py,0,1,4
file_name_from_image_id,function,folder_scanner.py,services\ean_renamer\services\folder_scanner.py,0,1,8
image_service.py,module,,services\ean_renamer\services\image_service.py,1,1,172
get_original_image,function,image_service.py,services\ean_renamer\services\image_service.py,1,1,3
get_thumbnail,function,image_service.py,services\ean_renamer\services\image_service.py,8,1,71
_,function,image_service.py,services\ean_renamer\services\image_service.py,0,0,0
_lock_for,function,image_service.py,services\ean_renamer\services\image_service.py,0,1,9
thumbnail_cache_dir,function,image_service.py,services\ean_renamer\services\image_service.py,0,1,4
_extract_video_frame,function,image_service.py,services\ean_renamer\services\image_service.py,0,1,41
_overlay_play_icon,function,image_service.py,services\ean_renamer\services\image_service.py,0,1,27
create_media_placeholder,function,image_service.py,services\ean_renamer\services\image_service.py,0,3,17
rename_planner.py,module,,services\ean_renamer\services\rename_planner.py,2,2,48
build_rename_plan,function,rename_planner.py,services\ean_renamer\services\rename_planner.py,2,2,36
_,function,rename_planner.py,services\ean_renamer\services\rename_planner.py,0,0,0
find_target_conflicts,function,rename_planner.py,services\ean_renamer\services\rename_planner.py,0,1,12
safe_renamer.py,module,,services\ean_renamer\services\safe_renamer.py,3,2,93
apply_rename,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,7,1,43
normalize_output_folder,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,1,2,10
write_log,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,1,2,6
_,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,0,0,0
log_dir,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,0,1,4
is_filesystem_root,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,0,1,2
apply_copy,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,0,1,21
rollback_temp_files,function,safe_renamer.py,services\ean_renamer\services\safe_renamer.py,0,1,7
undo_service.py,module,,services\ean_renamer\services\undo_service.py,2,1,113
undo_rename,function,undo_service.py,services\ean_renamer\services\undo_service.py,4,1,88
resolve_log_path,function,undo_service.py,services\ean_renamer\services\undo_service.py,1,1,19
_,function,undo_service.py,services\ean_renamer\services\undo_service.py,0,0,0
is_relative_to,function,undo_service.py,services\ean_renamer\services\undo_service.py,0,3,6
scan_folder,function,api.py,services\data_maintenance\api.py,1,0,10
sort_folder,function,api.py,services\data_maintenance\api.py,3,0,14
delete_empty,function,api.py,services\data_maintenance\api.py,2,0,14
_gallery,function,api.py,services\data_maintenance\api.py,2,2,12
get_report,function,api.py,services\data_maintenance\api.py,1,0,8
_summarize,function,api.py,services\data_maintenance\api.py,1,2,16
_thumbnail_for_item,function,api.py,services\data_maintenance\api.py,2,1,8
open_report_file,function,api.py,services\data_maintenance\api.py,0,0,9
export_report,function,api.py,services\data_maintenance\api.py,0,0,13
reveal_folder,function,api.py,services\data_maintenance\api.py,0,0,9
_report_rows_from_scan,function,api.py,services\data_maintenance\api.py,0,1,2
_read_report,function,api.py,services\data_maintenance\api.py,0,2,20
_data_url,function,api.py,services\data_maintenance\api.py,0,3,7
core.py,module,,services\ean_sorter\core.py,0,1,106
extract_ean,function,core.py,services\ean_sorter\core.py,1,2,9
scan,function,core.py,services\ean_sorter\core.py,1,4,21
sort_and_report,function,core.py,services\ean_sorter\core.py,4,1,50
ean_checksum_ok,function,core.py,services\ean_sorter\core.py,0,1,5
write_report,function,core.py,services\ean_sorter\core.py,0,1,19
_empty_folders,function,core.py,services\ean_sorter\core.py,0,4,2
ai_tools.py,module,,services\image_worker\ai_tools.py,0,2,90
realesrgan_executable,function,ai_tools.py,services\image_worker\ai_tools.py,1,4,8
pytorch_realesrgan_python,function,ai_tools.py,services\image_worker\ai_tools.py,1,3,5
pytorch_realesrgan_weight,function,ai_tools.py,services\image_worker\ai_tools.py,1,3,2
sharp_tool_status,function,ai_tools.py,services\image_worker\ai_tools.py,1,2,27
ai_tool_status,function,ai_tools.py,services\image_worker\ai_tools.py,3,1,5
verify_realesrgan,function,ai_tools.py,services\image_worker\ai_tools.py,1,0,6
verify_sharp,function,ai_tools.py,services\image_worker\ai_tools.py,1,0,2
_,function,ai_tools.py,services\image_worker\ai_tools.py,4,0,0
verify_pytorch_realesrgan,function,ai_tools.py,services\image_worker\ai_tools.py,2,1,9
project_root,function,ai_tools.py,services\image_worker\ai_tools.py,0,4,2
onnxruntime_status,function,ai_tools.py,services\image_worker\ai_tools.py,0,1,19
npu_acceleration_status,function,ai_tools.py,services\image_worker\ai_tools.py,0,1,5
auto_compose.py,module,,services\image_worker\auto_compose.py,2,1,194
analyze_scene,function,auto_compose.py,services\image_worker\auto_compose.py,2,1,47
compose_solo_product,function,auto_compose.py,services\image_worker\auto_compose.py,3,0,19
compose_product_in_context,function,auto_compose.py,services\image_worker\auto_compose.py,3,0,19
compose_lifestyle_person,function,auto_compose.py,services\image_worker\auto_compose.py,3,0,28
compose_tiny_product,function,auto_compose.py,services\image_worker\auto_compose.py,3,0,19
_,function,auto_compose.py,services\image_worker\auto_compose.py,7,0,0
auto_compose,function,auto_compose.py,services\image_worker\auto_compose.py,3,1,8
SceneProfile,class,auto_compose.py,services\image_worker\auto_compose.py,0,1,10
ViewportTransform,class,auto_compose.py,services\image_worker\auto_compose.py,0,6,8
classify_scene,function,auto_compose.py,services\image_worker\auto_compose.py,0,1,14
_style_params,function,auto_compose.py,services\image_worker\auto_compose.py,0,5,3
_cover_scale,function,auto_compose.py,services\image_worker\auto_compose.py,0,3,2
compose_multi_product,function,auto_compose.py,services\image_worker\auto_compose.py,0,0,3
compose_full_frame,function,auto_compose.py,services\image_worker\auto_compose.py,0,0,5
_center_fit,function,auto_compose.py,services\image_worker\auto_compose.py,0,5,7
viewport_to_layer_params,function,auto_compose.py,services\image_worker\auto_compose.py,0,1,2
config.py,module,,services\image_worker\config.py,0,1,0
ImageEditRequest,class,models.py,services\data_maintenance\models.py,13,5,113
FitMode,class,models.py,services\data_maintenance\models.py,1,12,4
MarginMode,class,models.py,services\data_maintenance\models.py,1,4,3
OutputMode,class,models.py,services\data_maintenance\models.py,1,6,3
CanvasBackgroundMode,class,models.py,services\data_maintenance\models.py,1,13,6
BackgroundRemovalMode,class,models.py,services\data_maintenance\models.py,1,6,4
StandardUpscaleMethod,class,models.py,services\data_maintenance\models.py,1,6,5
ClarityEnhanceMode,class,models.py,services\data_maintenance\models.py,1,8,6
ImageEditSummary,class,models.py,services\data_maintenance\models.py,1,1,12
ProcessedImage,class,models.py,services\data_maintenance\models.py,1,4,15
processor.py,module,,services\image_worker\processor.py,3,3,1012
maybe_upscale_image,function,processor.py,services\image_worker\processor.py,33,1,559
_,function,processor.py,services\image_worker\processor.py,9,0,0
run_image_edit,function,processor.py,services\image_worker\processor.py,15,2,182
process_image_record,function,processor.py,services\image_worker\processor.py,3,1,34
process_sharp_batch_records,function,processor.py,services\image_worker\processor.py,2,1,68
process_one_image,function,processor.py,services\image_worker\processor.py,7,2,39
expand_inputs,function,processor.py,services\image_worker\processor.py,7,1,26
ImageInput,class,processor.py,services\image_worker\processor.py,0,3,4
ImageOutputPlan,class,processor.py,services\image_worker\processor.py,0,1,5
BackgroundAnalysis,class,processor.py,services\image_worker\processor.py,0,8,5
emit_progress,function,processor.py,services\image_worker\processor.py,0,5,15
refresh_item_estimates,function,processor.py,services\image_worker\processor.py,0,1,28
is_supported_image_file,function,processor.py,services\image_worker\processor.py,0,3,6
clear_directory_contents,function,processor.py,services\image_worker\processor.py,0,1,10
safe_extract_zip,function,processor.py,services\image_worker\processor.py,0,1,9
can_use_sharp_batch,function,processor.py,services\image_worker\processor.py,0,1,2
run_sharp_transform,function,processor.py,services\image_worker\processor.py,0,3,20
pytorch_upscale.py,module,,services\image_worker\pytorch_upscale.py,1,0,38
main,function,pytorch_upscale.py,services\image_worker\pytorch_upscale.py,1,0,38
BaseModel,external,,,0,29,0
StrEnum,external,,,0,8,0
BaseSettings,external,,,0,1,0
